"Timestamp","Venez-vous de Rouen ?","Quel est votre âge ?","Quel est votre genre ?","Quelle est la profession ou catégorie socioprofessionnelle (PCS) de vos parents ? (si vous n'êtes pas à l'aise avec cette question, répondez au pif c'est pas bien grave)
Et si vous voulez des précisions sur la classification PCS : https://fr.wikipedia.org/wiki/Professions_et_cat%C3%A9gories_socioprofessionnelles_en_France","Pizza ou sushis ?","Rap ou pop ?","Imaginons que je vous donne le choix entre deux scénarios. (1) Je vous donne 50€. (2) Je lance une pièce, et si elle tombe sur face je vous donne 100€. Quel choix préférez vous ?","Même question, mais je vous donne 120€ dans le second cas.","Même question, mais je vous donne 150€ dans le second cas.","Quelle est la surface (en m2) de votre logement ?","Au lycée, étiez-vous scolarité dans le public ou dans le privé ?"
"2024/02/01 8:35:36 PM GMT+1","Oui","22","Femme","5. Employés","Suchis","Pop","Choix 2","Choix 2","Choix 2","75","Public"
"2024/02/01 8:54:18 PM GMT+1","Non","20 ","Femme","2. Artisans, commerçants","Pizza","Pop","Choix 1","Choix 1","Choix 2","100","Public"
"2024/02/01 10:46:08 PM GMT+1","Oui","19","Femme","5. Employés","Pizza","Rap","Choix 1","Choix 1","Choix 2","28","Public"
"2024/02/02 1:23:48 PM GMT+1","Non","19 ","Femme","5. Employés","Pizza","Rap","Choix 1","Choix 1","Choix 2","99","Public"
"2024/02/02 1:28:19 PM GMT+1","Non","20","Femme","6. Ouvriers","Pizza","Rap","Choix 1","Choix 2","Choix 2","20","Public"
"2024/02/02 1:28:23 PM GMT+1","Non","20","Femme","4. Professions Intermédiaires","Suchis","Rap","Choix 2","Choix 2","Choix 2","100","Public"
"2024/02/02 1:29:00 PM GMT+1","Oui","19","Femme","3. Cadres","Suchis","Pop","Choix 2","Choix 2","Choix 2","20","Public"
"2024/02/02 3:14:03 PM GMT+1","Oui","19","Femme","4. Professions Intermédiaires","Pizza","Pop","Choix 2","Choix 2","Choix 2","22","Privé"
"2024/02/02 3:29:07 PM GMT+1","Oui","19","Femme","3. Cadres","Suchis","Pop","Choix 2","Choix 2","Choix 2","16","Public"
"2024/02/03 4:38:41 PM GMT+1","Oui","19","Femme","4. Professions Intermédiaires","Pizza","Pop","Choix 1","Choix 2","Choix 2","16","Public"
"2024/02/04 8:33:27 PM GMT+1","Non","19","Femme","4. Professions Intermédiaires","Suchis","Pop","Choix 1","Choix 2","Choix 2","30","Public"
"2024/02/04 9:06:13 PM GMT+1","Non","25","Homme","3. Cadres","Pizza","Rap","Choix 2","Choix 2","Choix 1","46","Privé"