Guerre;Distance (km);Mentions;Mot-clé;Période;Victimes
Guerre d Afghanistan;5579;12410;Afghanistan;2001;165 000
Guerre du Darfour;4500;7122;darfour;2003-2020;301 000
Guerre d Irak;3845;11078;irak;2003;155 000
Guerre Saada;5271;361;Yémen;2009-2010;4 839
Guerre Russo-georgienne;3279;1124;Géorgie;2008;716
Guerre Djibouti-erythreenne;5500;53;Djibouti;2008;112
Guerre au Kordofan du Sud;4971;282;kordofan;2011-2020;7 166
Guerre du Sabah;10762;23;sulu;2013;84
Guerre du Kivu;6305;2109;kivu;2004-…;807 000
Guerre du Haut Karabagh;3538;890;Karabakh, karabagh;2020;30 000
Guerre du Sahel;3785;6779;sahel;2011-…;2 057
Guerre Russie Ukraine;2028;64038;Ukraine;2022-…;27 449