;Violences physiques Hommes;Violences physiques Femmes;Violences sexuelles Hommes;Violences sexuelles Femmes;Violence physique      et/ou sexuelle Hommes;Violence physique      et/ou sexuelle Femmes
Personne seule;4,6;3,2;0,4;1,7;4,9;4,5
Famille monoparentale;10,1;10,2;0,4;3,0;10,3;12,0
Couple sans enfant;3,1;3,6;0,3;0,9;3,3;4,2
Couple avec au moins un enfant;4,9;5,1;0,5;1,2;5,2;5,9
Réside en zone urbaine sensible ;5,2;7,4;1,0;2,1;6,0;8,6
Ne réside pas en zone urbaine sensible;4,6;4,8;0,4;1,4;4,9;5,7
Commune rurale;2,8;3,6;0,5;1,1;3,2;4,4
Agglomération de moins de 20 000 habitants;4,1;4,3;0,4;1,0;4,3;5,0
Agglomération de 20 000 à 99 999 habitants;4,9;5,0;0,6;1,6;5,3;6,1
Agglomération de 100 000 à 2 000 000 habitants;6,1;5,5;0,4;1,9;6,4;6,8
Agglomération de Paris ;5,2;6,6;0,4;1,5;5,6;7,3
1er quartile de revenu par unité de consommation;5,5;6,9;0,8;2,2;6,2;8,2
2e quartile de revenu par unité de consommation;4,5;4,8;0,6;1,6;5,0;5,9
3e quartile de revenu par unité de consommation;4,6;4,6;0,3;1,0;4,8;5,3
4e quartile de revenu par unité de consommation;3,9;3,5;0,2;0,9;4,0;4,1
Ensemble;4,6;5,0;0,4;1,4;4,9;5,9