Département,Victimes pour 1 000 habitantes de 15 à 64 ans,Fourchette
Seine-Saint-Denis,14,Plus de 11
Pas-de-Calais,"13,9",Plus de 11
Guyane,"13,9",Plus de 11
Nord,"13,2",Plus de 11
La Réunion,"13,2",Plus de 11
Guadeloupe,"12,2",Plus de 11
Alpes-Maritimes,12,Plus de 11
Var,12,Plus de 11
Pyrénées-Orientales,"11,8",Plus de 11
Lot-et-Garonne,"11,7",Plus de 11
Marne,"11,5",Plus de 11
Somme,"11,5",Plus de 11
Ardennes,"11,3",Plus de 11
Bouches-du-Rhône,"11,2",Plus de 11
Essonne,"11,2",Plus de 11
Aube,11,Plus de 11
Territoire de Belfort,11,Plus de 11
Martinique,11,Plus de 11
Val-d'Oise,"10,8",De 9 à 11
Seine-Maritime,"10,7",De 9 à 11
Alpes-de-Haute-Provence,"10,6",De 9 à 11
Charente,"10,5",De 9 à 11
Hérault,"10,5",De 9 à 11
Drôme,"10,4",De 9 à 11
Haute-Marne,"10,4",De 9 à 11
Meurthe-et-Moselle,"10,4",De 9 à 11
Aisne,"10,3",De 9 à 11
Yonne,"10,3",De 9 à 11
Hautes-Alpes,"10,2",De 9 à 11
Ariège,"10,2",De 9 à 11
Eure-et-Loir,"10,2",De 9 à 11
Doubs,"10,1",De 9 à 11
Gard,"10,1",De 9 à 11
Gironde,"10,1",De 9 à 11
Moselle,"10,1",De 9 à 11
Sarthe,"9,9",De 9 à 11
Eure,"9,8",De 9 à 11
Oise,"9,7",De 9 à 11
Orne,"9,7",De 9 à 11
Haut-Rhin,"9,7",De 9 à 11
Vaucluse,"9,7",De 9 à 11
Loiret,"9,5",De 9 à 11
Creuse,"9,4",De 9 à 11
Dordogne,"9,4",De 9 à 11
Tarn-et-Garonne,"9,4",De 9 à 11
Isère,"9,3",De 9 à 11
Meuse,"9,3",De 9 à 11
Aude,"9,2",De 9 à 11
Côtes-d'Armor,"9,2",De 9 à 11
Seine-et-Marne,"9,2",De 9 à 11
Val-de-Marne,"9,2",De 9 à 11
Calvados,"9,1",De 9 à 11
Mayenne,"9,1",De 9 à 11
Rhône,"9,1",De 9 à 11
Yvelines,"9,1",De 9 à 11
Charente-Maritime,9,De 9 à 11
Loire,"8,9",Moins de 9
Haute-Garonne,"8,8",Moins de 9
Indre,"8,8",Moins de 9
Landes,"8,8",Moins de 9
Haute-Saône,"8,8",Moins de 9
Corse-du-Sud,"8,7",Moins de 9
Loir-et-Cher,"8,7",Moins de 9
Tarn,"8,7",Moins de 9
Vosges,"8,7",Moins de 9
Corrèze,"8,6",Moins de 9
Indre-et-Loire,"8,6",Moins de 9
Bas-Rhin,"8,6",Moins de 9
Vienne,"8,6",Moins de 9
Ain,"8,5",Moins de 9
Morbihan,"8,5",Moins de 9
Lot,"8,4",Moins de 9
Deux-Sèvres,"8,4",Moins de 9
Cher,"8,3",Moins de 9
Ille-et-Vilaine,"8,3",Moins de 9
Jura,"8,3",Moins de 9
Allier,"8,2",Moins de 9
Haute-Corse,"8,2",Moins de 9
Hauts-de-Seine,"8,2",Moins de 9
Hautes-Pyrénées,"8,1",Moins de 9
Saône-et-Loire,"8,1",Moins de 9
Haute-Savoie,"8,1",Moins de 9
Savoie,"7,9",Moins de 9
Loire-Atlantique,"7,8",Moins de 9
Manche,"7,8",Moins de 9
Côte-d'Or,"7,7",Moins de 9
Gers,"7,7",Moins de 9
Nièvre,"7,7",Moins de 9
Pyrénées-Atlantiques,"7,7",Moins de 9
Ardèche,"7,5",Moins de 9
Haute-Vienne,"7,5",Moins de 9
Haute-Loire,"7,3",Moins de 9
Lozère,"7,3",Moins de 9
Maine-et-Loire,"7,3",Moins de 9
Mayotte,"7,3",Moins de 9
Aveyron,"7,1",Moins de 9
Cantal,"7,1",Moins de 9
Finistère,"7,1",Moins de 9
Vendée,7,Moins de 9
Ville de Paris,"6,8",Moins de 9
Puy-de-Dôme,"6,7",Moins de 9