;Hommes %;Hommes effectifs;Femmes %;Femmes effectifs;Femmes %;Femmes effectifs
Vol avec violence;0,9;190 000;0,8;167 000;0,8;357 000
Autre violence physique;3,6;757 000;4,1;905 000;3,8;1 662 000
Toute violence physique;4,3;910 000;4,7;1 039 000;4,5;1 949 000
Violence sexuelle;0,5;96 000;1,3;287 000;0,9;383 000
Toute violence physique ou sexuelle;4,7;988 000;5,5;1 220 000;5,1;2 208 000
Exhibitionnisme;1,2;252 000;2,9;645 000;2,1;897 000
Gestes déplacés;1,5;321 000;4,3;964 000;3,0;1 285 000
Vol sans violence;2,0;428 000;2,8;614 000;2,4;1 042 000
Menaces;4,8;1 010 000;4,8;1 068 000;4,8;2 078 000
Injures;11,4;2 415 000;12,8;2 852 000;12,1;5 267 000